#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.859,Assistance to High Energy Cost Rural Communities,Department of Agriculture / Rural Utilities Service,B - PROJECT GRANTS,9/2/2015 5:01,1/1/2001 0:00
10.863,Community Connect Grant Program,Department of Agriculture / Rural Utilities Service,B - PROJECT GRANTS,9/2/2015 5:01,1/1/2004 0:00
11.112,Market Development Cooperator Program,Department of Commerce / International Trade Administration,B - PROJECT GRANTS,9/22/2013 5:00,1/1/1994 0:00
11.011,Ocean Exploration,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Project Grants,9/20/2015 5:00,10/19/2009 7:45
11.012,Integrated Ocean Observing System (IOOS),Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Project Grants,8/15/2015 5:01,10/19/2009 7:46
11.400,Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,9/20/2014 5:00,1/1/2004 0:00
11.420,Coastal Zone Management Estuarine Research Reserves,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,9/20/2014 5:00,1/1/1975 0:00
11.427,Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,7/20/2012 5:02,1/1/1980 0:00
11.430,Undersea Research,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/10/2012 5:00,1/1/1987 0:00
11.431,Climate and Atmospheric Research,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,9/20/2015 5:00,1/1/1987 0:00
11.433,Marine Fisheries Initiative,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/18/2012 5:00,1/1/1990 0:00
11.434,Cooperative Fishery Statistics,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/10/2012 5:00,1/1/1991 0:00
11.435,Southeast Area Monitoring and Assessment Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/18/2012 5:00,1/1/1991 0:00
11.436,Columbia River Fisheries Development Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/9/2012 5:03,1/1/1991 0:00
11.437,Pacific Fisheries Data Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/9/2012 5:03,1/1/1991 0:00
11.438,Pacific Coast Salmon Recovery_Pacific Salmon Treaty Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/18/2012 5:00,1/1/1991 0:00
11.439,Marine Mammal Data Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/9/2012 5:03,1/1/1991 0:00
11.452,Unallied Industry Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/10/2012 5:00,1/1/1993 0:00
11.454,Unallied Management Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/10/2012 5:00,1/1/1993 0:00
11.455,Cooperative Science and Education Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,6/30/2009 9:41,1/1/1993 0:00
11.457,Chesapeake Bay Studies,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/18/2012 5:00,1/1/1992 0:00
11.459,Weather and Air Quality Research,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,9/20/2015 5:00,1/1/1992 0:00
11.462,Hydrologic Research,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,7/20/2012 5:02,1/1/1994 0:00
11.463,Habitat Conservation,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/18/2012 5:00,1/1/1993 0:00
11.469,Congressionally Identified Awards and  Projects,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,9/20/2013 5:00,1/1/1993 0:00
11.472,Unallied Science Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/9/2012 5:03,1/1/1994 0:00
11.473,Office for Coastal Management,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,4/17/2015 5:00,1/1/1995 0:00
11.474,Atlantic Coastal Fisheries Cooperative Management Act,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,8/10/2012 5:00,1/1/1995 0:00
11.549,State and Local Implementation Grant Program,Department of Commerce / National Telecommunications and Information Administration,B - Project Grants,9/24/2014 5:00,7/26/2012 5:02
11.550,Public Telecommunications Facilities Planning and Construction,Department of Commerce / National Telecommunications and Information Administration,B - PROJECT GRANTS,5/26/2013 5:00,5/1/2009 0:00
12.002,Procurement Technical Assistance For Business Firms,Department of Defense / Defense Logistics Agency,B - PROJECT GRANTS,11/5/2008 0:00,1/1/1988 0:00
12.113,State Memorandum of Agreement Program for the Reimbursement of Technical Services,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - PROJECT GRANTS,11/13/2008 0:00,1/1/1991 0:00
12.114,Collaborative Research and Development,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - PROJECT GRANTS,9/19/2008 0:00,1/1/1994 0:00
12.217,Electronic Absentee Systems for Elections,Department of Defense / Federal Voting Assistance Program,B - Project Grants,9/21/2014 5:00,3/30/2011 5:00
12.219,EASE 2.0,Department of Defense / Federal Voting Assistance Program,B - Project Grants,9/11/2015 5:00,4/4/2013 5:00
12.401,National Guard Military Operations and Maintenance (O&M) Projects,Department of Defense / National Guard Bureau,B - PROJECT GRANTS,9/28/2014 5:00,1/1/1996 0:00
12.901,Mathematical Sciences Grants Program,Department of Defense / National Security Agency,B - PROJECT GRANTS,9/28/2014 5:00,1/1/1992 0:00
12.902,Information Security Grants,Department of Defense / National Security Agency,B - PROJECT GRANTS,5/14/2015 14:20,1/1/1995 0:00
12.903,GenCyber Grants Program,Department of Defense / National Security Agency,B - Project Grants,2/6/2016 5:00,1/15/2016 7:40
12.607,"Community Economic Adjustment Assistance for Establishment, Expansion, Realignment, or Closure of a Military Installation",Department of Defense / Office of Economic Adjustment,B - PROJECT GRANTS,9/24/2015 13:25,1/1/1985 0:00
12.610,Community Economic Adjustment Assistance for Compatible Use and Joint Land Use Studies,Department of Defense / Office of Economic Adjustment,B - PROJECT GRANTS,9/24/2015 13:37,1/1/1989 0:00
12.611,Community Economic Adjustment Assistance for Reductions in Defense Industry Employment,Department of Defense / Office of Economic Adjustment,B - PROJECT GRANTS,9/25/2015 9:53,1/1/1992 0:00
12.614,Community Economic Adjustment Assistance for Advance Planning and Economic Diversification,Department of Defense / Office of Economic Adjustment,B - PROJECT GRANTS,9/24/2015 14:12,1/1/2005 0:00
12.617,Economic Adjustment Assistance for State Governments,Department of Defense / Office of Economic Adjustment,B - Project Grants,9/24/2015 14:34,5/30/2014 10:58
12.554,English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education,Department of Defense / Office of the Assistant Secretary (strategy and Requirements),B - PROJECT GRANTS,9/19/2008 0:00,1/1/2006 0:00
12.550,The Language Flagship Grants to Institutions of Higher Education,Department of Defense / Office of the Secretary of Defense,B - PROJECT GRANTS,7/6/2015 16:03,1/1/1996 0:00
12.431,Basic Scientific Research,Department of Defense / U.S. Army Materiel Command,B - PROJECT GRANTS,9/28/2014 5:00,1/1/1992 0:00
84.051,Career and Technical Education -- National Programs,"Department of Education / Office of Career, Technical, and Adult Education",B - PROJECT GRANTS,11/4/2015 15:49,1/1/1980 0:00
84.144,Migrant Education_Coordination Program,Department of Education / Office of Elementary and Secondary Education,B - PROJECT GRANTS,8/29/2015 5:01,1/1/1980 0:00
84.283,Comprehensive Centers,Department of Education / Office of Elementary and Secondary Education,B - PROJECT GRANTS,9/4/2015 5:00,1/1/1995 0:00
84.336,Teacher Quality Partnership Grants,Department of Education / Office of Innovation and Improvement,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1999 0:00
84.370,DC School Choice Incentive Program,Department of Education / Office of Innovation and Improvement,B - PROJECT GRANTS,9/4/2015 5:00,1/1/2005 0:00
84.374,Teacher Incentive Fund,Department of Education / Office of Innovation and Improvement,B - PROJECT GRANTS,9/3/2015 5:01,1/1/2006 0:00
84.021,Overseas Programs - Group Projects Abroad,Department of Education / Office of Postsecondary Education,B - PROJECT GRANTS,8/14/2015 5:01,1/1/1980 0:00
84.200,Graduate Assistance in Areas of National Need,Department of Education / Office of Postsecondary Education,B - PROJECT GRANTS,8/14/2015 5:01,1/1/1988 0:00
84.220,Centers for International Business Education,Department of Education / Office of Postsecondary Education,B - PROJECT GRANTS,9/6/2015 5:00,1/1/1989 0:00
84.229,Language Resource Centers,Department of Education / Office of Postsecondary Education,B - PROJECT GRANTS,9/6/2015 5:00,1/1/1990 0:00
84.160,Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1984 0:00
84.177,Rehabilitation Services_Independent Living Services for Older Individuals Who are Blind,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1986 0:00
84.263,Rehabilitation Training_Experimental and Innovative Training,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,8/12/2015 5:00,1/1/1993 0:00
84.323,Special Education - State Personnel Development,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,9/5/2015 5:00,1/1/1998 0:00
84.418,Promoting Readiness of Minors in Supplemental Security Income,Department of Education / Office of Special Education and Rehabilitative Services,B - Project Grants,9/10/2015 5:00,3/8/2013 5:00
81.057,University Coal Research,Department of Energy,B - PROJECT GRANTS,8/30/2015 5:00,1/1/1980 0:00
81.079,Regional Biomass Energy Programs,Department of Energy,B - PROJECT GRANTS,8/22/2015 5:00,1/1/1983 0:00
81.105,"National Industrial Competitiveness through Energy, Environment, and Economics",Department of Energy,B - PROJECT GRANTS,8/22/2015 5:00,1/1/1993 0:00
81.119,State Energy Program Special Projects,Department of Energy,B - PROJECT GRANTS,8/22/2015 5:00,1/1/2000 0:00
93.096,HHS Programs for Disaster Relief Appropriations Act - Construction,Department of Health and Human Services,B - Project Grants,9/20/2015 5:00,3/24/2013 5:00
93.075,Systems Interoperability_Health and Human Services,Department of Health and Human Services / Administration for Children and Families,B - Project Grants,9/6/2014 5:00,6/8/2012 9:46
93.320,"Affordable Care Act (ACA) Research and Evaluation of the Maternal, Infant and Early Childhood Home Visiting Program",Department of Health and Human Services / Administration for Children and Families,B - Project Grants,11/6/2014 5:00,
93.327,Demonstration Grants for Domestic Victims of Human Trafficking,Department of Health and Human Services / Administration for Children and Families,B - Project Grants,8/27/2015 5:00,4/27/2014 5:00
93.564,Child Support Enforcement Research,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,8/29/2015 5:00,1/1/1992 0:00
93.601,Child Support Enforcement Demonstrations and Special Projects,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,8/29/2015 5:00,1/1/1999 0:00
93.648,Child Welfare Research Training or Demonstration,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,8/27/2015 5:01,1/1/1990 0:00
93.631,Developmental Disabilities Projects of National Significance,Department of Health and Human Services / Administration for Community Living,B - PROJECT GRANTS,8/5/2015 5:00,1/1/1990 0:00
93.763,Alzheimer’s Disease Initiative: Specialized Supportive Services Project (ADI-SSS) thru Prevention and Public Health Funds (PPHF),Department of Health and Human Services / Administration for Community Living,B - Project Grants,8/5/2015 5:00,5/1/2014 5:00
93.844,"ACL Centers for Independent Living, Recovery Act",Department of Health and Human Services / Administration for Community Living,B - Project Grants,8/8/2015 5:00,3/9/2015 13:15
93.226,"Research on Healthcare Costs, Quality and Outcomes",Department of Health and Human Services / Agency for Healthcare Research and Quality,B - PROJECT GRANTS,7/25/2015 5:00,1/1/1990 0:00
93.161,Health Program for Toxic Substances and Disease Registry,Department of Health and Human Services / Agency for Toxic Substances and Disease Registry,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1990 0:00
93.240,State Capacity Building,Department of Health and Human Services / Agency for Toxic Substances and Disease Registry,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1999 0:00
93.268,Immunization Cooperative Agreements,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,6/4/2015 5:00,1/1/1990 0:00
93.938,Cooperative Agreements to Support Comprehensive School Health Programs to Prevent the Spread of HIV and Other Important Health Problems,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,7/26/2015 5:00,1/1/1992 0:00
93.977,Preventive Health Services_Sexually Transmitted Diseases Control Grants,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1990 0:00
93.978,"Preventive Health Services_Sexually Transmitted Diseases Research, Demonstrations, and Public Information and Education Grants",Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1990 0:00
93.506,ACA Nationwide Program for National and State Background Checks for Direct Patient Access Employees of Long Term Care Facilities and Providers,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,8/8/2015 5:00,6/3/2010 14:18
93.511,Affordable Care Act (ACA) Grants to States for Health Insurance Premium Review,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,6/26/2015 5:00,6/4/2010 12:10
93.536,The Affordable Care Act Medicaid Incentives for Prevention of Chronic Disease Demonstration Project,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,6/27/2015 5:00,2/23/2011 16:13
93.609,The Affordable Care Act – Medicaid Adult Quality Grants,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,6/26/2015 5:00,7/5/2012 14:29
93.621,Affordable Care Act Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,6/24/2015 9:02,3/14/2012 12:45
93.626,Affordable Care Act State Health Insurance Assistance Program (SHIP) and Aging and Disability Resource Center (ADRC) Options Counseling for Medicare-Medicaid Individuals in States with Approved Financial Alignment Models,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,7/11/2015 5:01,8/22/2012 16:30
93.636,ACA - Reinvestment of Civil Money Penalties to Benefit Nursing Home Residents,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,8/29/2015 5:01,4/17/2014 9:29
93.791,Money Follows the Person Rebalancing Demonstration,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - PROJECT GRANTS,6/26/2015 5:00,1/1/2006 0:00
93.881,Health Insurance Market Reforms,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Project Grants,3/4/2016 5:00,3/4/2016 5:00
93.059,"Training in General, Pediatric, and Public Health Dentistry",Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/1/2015 9:29,12/15/2011 12:19
93.211,Telehealth Programs,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 13:58,1/1/1994 0:00
93.224,"Consolidated Health Centers (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 9:04,1/1/1990 0:00
93.234,Traumatic Brain Injury State Demonstration Grant Program,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 13:59,1/1/1997 0:00
93.236,Grants to States to Support Oral Health Workforce Activities,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 9:05,1/1/1998 0:00
93.251,Universal Newborn Hearing Screening,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 14:01,1/1/2000 0:00
93.253,Poison Center Support and Enhancement Grant Program,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:06,1/1/2000 0:00
93.259,Rural Access to Emergency Devices Grant and Public Access to Defibrillation Demonstration Grant,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 14:06,1/1/2002 0:00
93.265,Comprehensive Geriatric Education Program (CGEP),Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 9:13,1/1/2003 0:00
93.501,Affordable Care Act (ACA) Grants for School-Based Health Center Capital Expenditures,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:21,6/2/2010 11:30
93.502,Affordable Care Act (ACA) Infrastructure to Expand Access to Care,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:22,6/2/2010 11:31
93.526,Affordable Care Act (ACA) Grants for Capital Development in Health Centers,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:21,8/31/2010 8:12
93.527,Affordable Care Act (ACA) Grants for New and Expanded Services under the Health Center Program,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:21,8/6/2010 12:22
93.549,Affordable Care Act (ACA) The Primary Care Services Resource Coordination and Development Program,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:16,9/8/2011 13:51
93.732,Mental and Behavioral Health Education and Training Grants,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:15,4/13/2012 5:01
93.824,Area Health Education Centers Infrastructure Development Awards,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 9:14,1/1/1990 0:00
93.877,"Autism Collaboration, Accountability, Research, Education, and Support",Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,1/14/2016 5:01,1/14/2016 5:01
93.884,Grants for Primary Care Training and Enhancement,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/2/2015 9:15,1/1/1990 0:00
93.913,Grants to States for Operation of Offices of Rural Health,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants,9/2/2015 14:44,1/1/1991 0:00
93.113,Environmental Health,Department of Health and Human Services / National Institutes of Health,B - Project Grants,8/22/2015 5:00,1/1/1990 0:00
93.143,NIEHS Superfund Hazardous Substances_Basic Research and Education,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,8/22/2015 5:00,1/1/1990 0:00
93.172,Human Genome Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,8/1/2015 5:00,1/1/1990 0:00
93.273,Alcohol Research Programs,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,6/4/2015 5:00,1/1/1990 0:00
93.281,Mental Health Research Career/Scientist Development Awards,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,9/5/2015 5:00,1/1/1990 0:00
93.313,NIH Office of Research on Women's Health,Department of Health and Human Services / National Institutes of Health,B - Project Grants,9/12/2015 5:00,9/20/2012 5:00
93.389,National Center for Research Resources,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,5/14/2015 5:00,1/1/1990 0:00
93.853,Extramural Research Programs in the Neurosciences and Neurological Disorders,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,9/5/2015 5:00,1/1/1990 0:00
93.855,Allergy and Infectious Diseases Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,8/5/2015 5:00,1/1/1990 0:00
93.856,Microbiology and Infectious Diseases Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,8/5/2015 5:00,1/1/1990 0:00
93.865,Child Health and Human Development Extramural Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,8/1/2015 5:00,1/1/1990 0:00
93.866,Aging Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,7/26/2015 5:00,1/1/1990 0:00
93.867,Vision Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,8/14/2015 5:00,1/1/1990 0:00
93.085,Research on Research Integrity,Department of Health and Human Services / Office of the Secretary,B - Project Grants,8/12/2015 14:33,2/12/2013 13:18
93.239,Policy Research and Evaluation Grants,Department of Health and Human Services / Office of the Secretary,B - PROJECT GRANTS,8/29/2015 5:01,1/1/1998 0:00
93.801,Ebola Healthcare Preparedness and Response for Select Cities with Enhanced Airport Entrance Screenings from Affected Countries in West Africa,Department of Health and Human Services / Office of the Secretary,B - Project Grants,9/2/2015 5:01,11/28/2014 5:00
97.005,State and Local Homeland Security National Training Program,Department of Homeland Security,B - PROJECT GRANTS,3/18/2015 9:13,1/1/2003 0:00
97.008,Non-Profit Security Program,Department of Homeland Security,B - Project Grants,7/23/2015 5:00,1/1/2003 0:00
97.025,National Urban Search and Rescue (US&R) Response System,Department of Homeland Security,B - PROJECT GRANTS,9/5/2015 5:00,1/1/2003 0:00
97.029,Flood Mitigation Assistance,Department of Homeland Security,B - PROJECT GRANTS,8/16/2015 5:00,1/1/2003 0:00
97.036,Disaster Grants - Public Assistance (Presidentially Declared Disasters),Department of Homeland Security,B - PROJECT GRANTS,9/22/2015 5:00,1/1/2003 0:00
97.039,Hazard Mitigation Grant,Department of Homeland Security,B - PROJECT GRANTS,8/27/2015 5:01,1/1/2003 0:00
97.040,Chemical Stockpile Emergency Preparedness Program,Department of Homeland Security,B - PROJECT GRANTS,8/27/2015 5:02,1/1/2003 0:00
97.041,National Dam Safety Program,Department of Homeland Security,B - PROJECT GRANTS,9/20/2015 5:00,1/1/2003 0:00
97.043,State Fire Training Systems Grants,Department of Homeland Security,B - PROJECT GRANTS,8/6/2015 5:00,1/1/2003 0:00
97.044,Assistance to Firefighters Grant,Department of Homeland Security,B - PROJECT GRANTS,9/5/2015 5:00,1/1/2003 0:00
97.047,Pre-Disaster Mitigation,Department of Homeland Security,B - PROJECT GRANTS,8/16/2015 5:00,1/1/2003 0:00
97.052,Emergency Operations Center,Department of Homeland Security,B - PROJECT GRANTS,8/6/2015 5:00,1/1/2003 0:00
97.077,"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",Department of Homeland Security,B - Project Grants,6/10/2015 5:00,1/1/2005 0:00
97.078,Buffer Zone Protection Program (BZPP),Department of Homeland Security,B - PROJECT GRANTS,7/23/2015 5:00,1/1/2005 0:00
97.089,Driver's License Security Grant Program,Department of Homeland Security,B - PROJECT GRANTS,7/23/2015 5:00,1/1/2005 0:00
97.092,Repetitive Flood Claims,Department of Homeland Security,B - PROJECT GRANTS,9/12/2015 5:00,1/1/2008 0:00
97.107,National Incident Management System (NIMS),Department of Homeland Security,B - PROJECT GRANTS,8/16/2015 5:00,1/1/2007 0:00
97.110,Severe Repetitive Loss Program,Department of Homeland Security,B - PROJECT GRANTS,9/20/2015 5:00,1/1/2008 0:00
97.111,Regional Catastrophic Preparedness Grant Program (RCPGP),Department of Homeland Security,B - PROJECT GRANTS,9/20/2015 5:00,1/1/2008 0:00
97.120,Border Interoperability Demonstration Project,Department of Homeland Security,B - Project Grants,6/21/2015 5:00,2/26/2010 7:38
97.124,Interoperable Communications and Training Project,Department of Homeland Security,B - Project Grants,6/21/2015 5:00,9/10/2010 12:19
97.126,National Special Security Event,Department of Homeland Security,B - Project Grants,7/23/2015 5:00,9/16/2011 16:48
97.129,Securing Critical Underground Infrastructure Pilot Program,Department of Homeland Security,B - Project Grants,6/21/2015 5:00,7/6/2011 15:56
14.273,Pay for Success Permanent Supportive Housing Demonstration,Department of Housing and Urban Development / Office of Community Planning and Development,B - Project Grants,7/8/2015 5:00,7/8/2015 5:00
14.417,Fair Housing Organization Initiatives,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,B - Project Grants,8/14/2015 5:00,7/21/2009 17:53
14.900,Lead-Based Paint Hazard Control in Privately-Owned Housing,Department of Housing and Urban Development / Office of Healthy Homes and Lead Hazard Control,B - PROJECT GRANTS,7/30/2011 5:00,1/1/1993 0:00
14.905,Lead Hazard Reduction Demonstration Grant Program,Department of Housing and Urban Development / Office of Healthy Homes and Lead Hazard Control,B - PROJECT GRANTS,7/30/2011 5:00,1/1/2003 0:00
14.169,Housing Counseling Assistance Program,Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,B - PROJECT GRANTS,7/22/2012 5:01,1/1/1982 0:00
14.895,Jobs-Plus Pilot Initiative,Department of Housing and Urban Development / Office of Public and Indian Housing,B - Project Grants,6/21/2015 5:00,4/6/2014 5:00
16.809,Recovery Act - State and Local Law Enforcement Assistance Program: Combating Criminal Narcotics Activity Stemming from the Southern Border of the United States Competitive Grant Program,Department of Justice,B - Project Grants,8/22/2015 5:00,5/15/2009 17:33
16.810,Recovery Act – Assistance to Rural Law Enforcement to Combat Crime and Drugs Competitive Grant Program,Department of Justice,B - Project Grants,8/22/2015 5:00,5/15/2009 17:33
16.585,Drug Court Discretionary Grant Program,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/6/2015 5:00,1/1/1995 0:00
16.609,Project Safe Neighborhoods,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/18/2015 5:00,1/1/1999 0:00
16.610,Regional Information Sharing Systems,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/18/2015 5:00,1/1/1999 0:00
16.735,"PREA Program: Demonstration Projects to Establish ""Zero Tolerance"" Cultures for Sexual Assault in Correctional Facilities",Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/10/2015 5:00,1/1/2004 0:00
16.740,Statewide Automated Victim Information Notification (SAVIN) Program,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/10/2015 5:01,1/1/2005 0:00
16.751,Edward Byrne Memorial Competitive Grant Program,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/18/2015 5:00,1/1/2008 0:00
16.752,Economic High-Tech and Cyber Crime Prevention,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/18/2015 5:00,1/1/2008 0:00
16.753,Congressionally Recommended Awards,Department of Justice / Bureau of Justice Assistance,B - PROJECT GRANTS,9/10/2015 5:01,1/1/2008 0:00
16.754,Harold Rogers Prescription Drug Monitoring Program,Department of Justice / Bureau of Justice Assistance,B - Project Grants,9/18/2015 5:00,7/21/2009 18:03
16.824,Emergency Law Enforcement Assistance Grant,Department of Justice / Bureau of Justice Assistance,B - Project Grants,9/10/2015 5:01,8/3/2013 5:00
16.827,Justice Reinvestment Initiative,Department of Justice / Bureau of Justice Assistance,B - Project Grants,9/5/2015 5:00,4/2/2014 5:00
16.307,Combined DNA Index System,Department of Justice / Federal Bureau of Investigation,B - PROJECT GRANTS,9/19/2015 5:01,1/1/1996 0:00
16.826,Vision 21,Department of Justice / Office for Victims of Crime,B - Project Grants,9/19/2015 5:01,3/13/2014 5:00
16.710,Public Safety Partnership and Community Policing Grants,Department of Justice / Office of Community Oriented Policing Services,B - PROJECT GRANTS,3/15/2013 5:00,1/1/1995 0:00
16.123,Community-Based Violence Prevention Program,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - Project Grants,9/13/2015 5:00,3/18/2010 10:46
16.543,Missing Children's Assistance,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - PROJECT GRANTS,9/13/2015 5:00,1/1/1986 0:00
16.726,Juvenile Mentoring Program,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - PROJECT GRANTS,9/19/2015 5:00,1/1/1996 0:00
16.727,Enforcing Underage Drinking Laws Program,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - PROJECT GRANTS,9/21/2014 5:00,1/1/1998 0:00
